num,fecha,clave_edo,estado,clave_mun,municipio,categoria,tipo
161,2016-10-03,11,Guanajuato,11017,Irapuato,Vandalismo al Tren,Cierre de Angulares
162,2016-10-03,01,Aguascalientes,01001,Aguascalientes,Vandalismo al Tren,Cierre de Angulares
163,2016-10-03,10,Durango,10027,San Juan de Guadalupe,Vandalismo al Tren,Cierre de Angulares
164,2016-10-03,11,Guanajuato,11023,Pénjamo,Vandalismo al Tren,Cierre de Angulares
165,2016-10-03,14,Jalisco,14119,Zacoalco de Torres,Vandalismo al Tren,Cierre de Angulares
166,2016-10-03,11,Guanajuato,11017,Irapuato,Vandalismo al Tren,Cierre de Angulares
167,2016-10-03,11,Guanajuato,11017,Irapuato,Vandalismo al Tren,Cierre de Angulares
168,2016-10-03,11,Guanajuato,11015,Guanajuato,Vandalismo al Tren,Cierre de Angulares
169,2016-10-03,22,Querétaro,22017,Tequisquiapan,Vandalismo al Tren,Cierre de Angulares
170,2016-10-03,22,Querétaro,22017,Tequisquiapan,Vandalismo al Tren,Cierre de Angulares
171,2016-10-03,22,Querétaro,22011,El Marqués,Vandalismo al Tren,Cierre de Angulares
172,2016-10-03,11,Guanajuato,11015,Guanajuato,Vandalismo al Tren,Cierre de Angulares
173,2016-10-03,11,Guanajuato,11017,Irapuato,Vandalismo al Tren,Cierre de Angulares
174,2016-10-03,11,Guanajuato,11037,Silao,Vandalismo al Tren,Cierre de Angulares
175,2016-10-03,11,Guanajuato,11015,Guanajuato,Vandalismo al Tren,Cierre de Angulares
176,2016-10-03,14,Jalisco,14109,Unión de San Antonio,Vandalismo al Tren,Cierre de Angulares
177,2016-10-03,22,Querétaro,22017,Tequisquiapan,Vandalismo al Tren,Cierre de Angulares
178,2016-10-03,22,Querétaro,22014,Querétaro,Vandalismo al Tren,Cierre de Angulares
179,2016-10-03,30,Veracruz de Ignacio de la Llave,30014,Amatlán de Los Reyes,Vandalismo al Tren,Cierre de Angulares
180,2016-10-03,32,Zacatecas,32056,Zacatecas,Vandalismo al Tren,Cierre de Angulares
181,2016-10-03,11,Guanajuato,11017,Irapuato,Vandalismo al Tren,Cierre de Angulares
182,2016-10-03,22,Querétaro,22011,El Marqués,Vandalismo al Tren,Cierre de Angulares
183,2016-10-03,11,Guanajuato,11017,Irapuato,Vandalismo al Tren,Cierre de Angulares
184,2016-10-03,32,Zacatecas,32056,Zacatecas,Vandalismo al Tren,Cierre de Angulares
185,2016-10-03,11,Guanajuato,11017,Irapuato,Vandalismo al Tren,Cierre de Angulares
186,2016-10-03,14,Jalisco,14039,Guadalajara,Vandalismo al Tren,Cierre de Angulares
187,2016-10-03,11,Guanajuato,11017,Irapuato,Vandalismo al Tren,Cierre de Angulares
188,2016-10-03,14,Jalisco,14083,Tala,Vandalismo al Tren,Tren Dividido
189,2016-10-03,11,Guanajuato,11017,Irapuato,Vandalismo al Tren,Cierre de Angulares
190,2016-10-03,11,Guanajuato,11023,Pénjamo,Vandalismo en Vía,Obstrucción de Vía
191,2016-10-03,15,México,15092,Teotihuacán,Vandalismo al Tren,Cierre de Angulares
192,2016-10-03,11,Guanajuato,11017,Irapuato,Vandalismo al Tren,Cierre de Angulares
193,2016-10-03,11,Guanajuato,11017,Irapuato,Vandalismo al Tren,Cierre de Angulares
194,2016-10-03,11,Guanajuato,11015,Guanajuato,Vandalismo al Tren,Cierre de Angulares
195,2016-10-03,32,Zacatecas,32010,Fresnillo,Vandalismo al Tren,Cierre de Angulares
196,2016-10-03,22,Querétaro,22017,Tequisquiapan,Vandalismo al Tren,Cierre de Angulares
197,2016-10-03,14,Jalisco,14123,Zapotlán del Rey,Vandalismo al Tren,Cierre de Angulares
198,2016-10-03,11,Guanajuato,11017,Irapuato,Vandalismo al Tren,Cierre de Angulares
199,2016-10-03,11,Guanajuato,11015,Guanajuato,Vandalismo al Tren,Cierre de Angulares
200,2016-10-03,11,Guanajuato,11023,Pénjamo,Vandalismo al Tren,Cierre de Angulares
201,2016-10-03,22,Querétaro,22014,Querétaro,Vandalismo al Tren,Cierre de Angulares
202,2016-10-03,14,Jalisco,14045,Ixtlahuacán del Río,Vandalismo al Tren,Cierre de Angulares
203,2016-10-03,14,Jalisco,14045,Ixtlahuacán del Río,Vandalismo al Tren,Cierre de Angulares
204,2016-10-03,11,Guanajuato,11023,Pénjamo,Vandalismo al Tren,Cierre de Angulares
205,2016-10-03,11,Guanajuato,11005,Apaseo el Grande,Vandalismo al Tren,Apertura de Unidades
206,2016-10-03,26,Sonora,26030,Hermosillo,Vandalismo al Tren,Cierre de Angulares
207,2016-10-03,32,Zacatecas,32001,Apozol,Vandalismo al Tren,Cierre de Angulares
208,2016-10-03,11,Guanajuato,11027,Salamanca,Vandalismo al Tren,Cierre de Angulares
209,2016-10-03,11,Guanajuato,11027,Salamanca,Vandalismo al Tren,Apertura de Unidades
